date,n_dev,n_succ,n_rounds,prop_data_eav,n_class_eav,class_dist_eav,greedy,eaves_acc,smart_eaves_accuracy,learner_acc
2023-07-18_21:25:02,20,30,100,0.1,2,0.99,False,0.8886363636363637, 0.3409090909090909,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.8886363636363637, 0.3409090909090909,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.9318181818181818, 0.6022727272727273,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.9568181818181818, 0.41363636363636364,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.9340909090909091, 0.6181818181818182,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.925, 0,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.9431818181818182, 0,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.9, 0.6659090909090909,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.9181818181818182, 0.65,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.9113636363636364, 0.42727272727272725,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.9386363636363636, 0.5022727272727273,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.13636363636363635, 0.23863636363636365,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.9431818181818182, 0.37272727272727274,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.9409090909090909, 0.4409090909090909,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.9363636363636364, 0.45681818181818185,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.9340909090909091, 0.43863636363636366,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.9409090909090909, 0.6477272727272727,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.925, 0.4863636363636364,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.925, 0,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,False,0.884090909090909, 0.36363636363636365,
2023-07-18_21:29:05,20,30,100,0.1,2,0.99,True,0.9409090909090909, 0.5909090909090909,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.8886363636363637, 0.759090909090909,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.9318181818181818, 0.8386363636363636,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.9568181818181818, 0.8,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.9340909090909091, 0.7772727272727272,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.925, 0,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.9431818181818182, 0,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.9, 0.8545454545454545,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.9181818181818182, 0.8159090909090909,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.9113636363636364, 0.740909090909091,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.9386363636363636, 0.8295454545454546,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.13636363636363635, 0.5454545454545454,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.9431818181818182, 0.8318181818181818,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.9409090909090909, 0.8681818181818182,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.9363636363636364, 0.8522727272727273,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.9340909090909091, 0.7954545454545454,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.9409090909090909, 0.8636363636363636,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.925, 0.8454545454545455,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.925, 0,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,False,0.884090909090909, 0.740909090909091,
2023-07-18_21:29:05,20,30,100,0.1,2,0.9,True,0.9409090909090909, 0.8136363636363636,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.8886363636363637, 0.9227272727272727,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.9318181818181818, 0.8886363636363637,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.9568181818181818, 0.9272727272727272,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.9340909090909091, 0.9295454545454546,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.925, 0,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.9431818181818182, 0,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.9, 0.9295454545454546,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.9181818181818182, 0.9386363636363636,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.9113636363636364, 0.9068181818181819,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.9386363636363636, 0.9386363636363636,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.13636363636363635, 0.8795454545454545,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.9431818181818182, 0.9181818181818182,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.9409090909090909, 0.9204545454545454,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.9363636363636364, 0.9204545454545454,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.9340909090909091, 0.9045454545454545,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.9409090909090909, 0.9568181818181818,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.925, 0.9204545454545454,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.925, 0,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,False,0.884090909090909, 0.9295454545454546,
2023-07-18_21:29:05,20,30,100,0.1,2,0.3,True,0.9409090909090909, 0.9272727272727272,
2023-07-18_21:29:05,20,30,100,0.1,5,0.99,False,0.9113636363636364, 0.55,
2023-07-18_21:29:05,20,30,100,0.1,5,0.99,True,0.925, 0,
2023-07-18_21:29:05,20,30,100,0.1,5,0.99,False,0.9318181818181818, 0.7295454545454545,
2023-07-18_21:29:05,20,30,100,0.1,5,0.99,True,0.9409090909090909, 0.8545454545454545,
2023-07-19_14:36:24,20,30,100,0.1,5,0.99,False,0.9113636363636364, 0.55,
2023-07-19_14:38:01,20,30,100,0.1,5,0.99,True,0.925, 0,
2023-07-19_14:39:59,20,30,100,0.1,5,0.99,False,0.9318181818181818, 0.7295454545454545,
2023-07-19_14:41:41,20,30,100,0.1,5,0.99,True,0.9409090909090909, 0.8545454545454545,
2023-07-19_14:43:30,20,30,100,0.1,5,0.99,False,0.9181818181818182, 0.41818181818181815,
2023-07-19_14:45:09,20,30,100,0.1,5,0.99,True,0.9090909090909091, 0,
2023-07-19_14:46:35,20,30,100,0.1,5,0.99,False,0.8818181818181818, 0.675,
2023-07-19_14:48:11,20,30,100,0.1,5,0.99,True,0.8886363636363637, 0,
2023-07-19_14:49:53,20,30,100,0.1,5,0.99,False,0.9045454545454545, 0.8454545454545455,
2023-07-19_14:51:31,20,30,100,0.1,5,0.99,True,0.9363636363636364, 0.7204545454545455,
2023-07-19_14:53:30,20,30,100,0.1,5,0.99,False,0.9386363636363636, 0.7295454545454545,
2023-07-19_14:55:13,20,30,100,0.1,5,0.99,True,0.9386363636363636, 0.6977272727272728,
2023-07-19_14:57:06,20,30,100,0.1,5,0.99,False,0.9181818181818182, 0.08636363636363636,
2023-07-19_14:58:51,20,30,100,0.1,5,0.99,True,0.9181818181818182, 0.759090909090909,
2023-07-19_15:00:21,20,30,100,0.1,5,0.99,False,0.8295454545454546, 0.575,
2023-07-19_15:02:01,20,30,100,0.1,5,0.99,True,0.925, 0,
2023-07-19_15:03:50,20,30,100,0.1,5,0.9,False,0.9113636363636364, 0.8090909090909091,
2023-07-19_15:05:30,20,30,100,0.1,5,0.9,True,0.925, 0,
2023-07-19_15:07:28,20,30,100,0.1,5,0.9,False,0.9318181818181818, 0.9090909090909091,
2023-07-19_15:09:11,20,30,100,0.1,5,0.9,True,0.9409090909090909, 0.9227272727272727,
2023-07-19_15:11:01,20,30,100,0.1,5,0.9,False,0.9181818181818182, 0.42954545454545456,
