,n_dev,n_class_eav,prop_data_eav,class_dist_eav,greedy_eav_acc,greedy_eav_acc_std,optimal_eav_acc,optimal_eav_acc_std,greedy_learner_acc_mean,greedy_learner_acc_std,optimal_learner_acc_mean,optimal_learner_acc_std
2,20,2,0.1,0.99,0.8568181818181818,,0.3363636363636363,,0.925357142857143,,0.831547619047619,
1,20,2,0.1,0.9,0.8568181818181818,,0.725,,0.925357142857143,,0.831547619047619,
0,20,2,0.1,0.2,0.8568181818181818,,0.9272727272727272,,0.925357142857143,,0.831547619047619,
5,20,2,0.4,0.99,0.8590909090909091,,0.4454545454545454,,0.923809523809524,,0.8154761904761907,
4,20,2,0.4,0.9,0.8590909090909091,,0.906818181818182,,0.923809523809524,,0.8154761904761907,
3,20,2,0.4,0.2,0.8590909090909091,,0.9727272727272728,,0.923809523809524,,0.8154761904761907,
8,20,2,1.0,0.99,0.85,,0.6318181818181818,,0.9304761904761906,,0.8220238095238097,
7,20,2,1.0,0.9,0.85,,0.9159090909090908,,0.9304761904761906,,0.8220238095238097,
6,20,2,1.0,0.2,0.85,,0.968181818181818,,0.9304761904761906,,0.8220238095238097,
11,20,5,0.1,0.99,0.8431818181818181,,0.7840909090909091,,0.9239285714285714,,0.8166666666666667,
10,20,5,0.1,0.9,0.8431818181818181,,0.9,,0.9239285714285714,,0.8166666666666667,
9,20,5,0.1,0.5,0.8431818181818181,,0.9318181818181818,,0.9239285714285714,,0.8166666666666667,
14,20,5,0.4,0.99,0.8340909090909091,,0.7068181818181818,,0.9215476190476192,,0.8190476190476191,
13,20,5,0.4,0.9,0.8340909090909091,,0.9204545454545454,,0.9215476190476192,,0.8190476190476191,
12,20,5,0.4,0.5,0.8340909090909091,,0.9704545454545456,,0.9215476190476192,,0.8190476190476191,
17,20,5,1.0,0.99,0.8477272727272728,,0.8204545454545454,,0.925714285714286,,0.8154761904761904,
16,20,5,1.0,0.9,0.8477272727272728,,0.9613636363636364,,0.925714285714286,,0.8154761904761904,
15,20,5,1.0,0.5,0.8477272727272728,,0.9772727272727272,,0.925714285714286,,0.8154761904761904,
20,20,8,0.1,0.99,0.8295454545454546,,0.8977272727272727,,0.925595238095238,,0.8190476190476191,
19,20,8,0.1,0.9,0.8295454545454546,,0.9568181818181818,,0.925595238095238,,0.8190476190476191,
18,20,8,0.1,0.8,0.8295454545454546,,0.9431818181818182,,0.925595238095238,,0.8190476190476191,
23,20,8,0.4,0.99,0.8681818181818182,,0.8977272727272727,,0.9257142857142858,,0.8089285714285716,
22,20,8,0.4,0.9,0.8681818181818182,,0.9363636363636364,,0.9257142857142858,,0.8089285714285716,
21,20,8,0.4,0.8,0.8681818181818182,,0.9545454545454546,,0.9257142857142858,,0.8089285714285716,
26,20,8,1.0,0.99,0.8636363636363636,,0.9431818181818182,,0.930595238095238,,0.8309523809523809,
25,20,8,1.0,0.9,0.8636363636363636,,0.975,,0.930595238095238,,0.8309523809523809,
24,20,8,1.0,0.8,0.8636363636363636,,0.975,,0.930595238095238,,0.8309523809523809,
29,50,2,0.1,0.99,0.8613636363636363,,0.3204545454545454,,0.8596428571428569,,0.8402380952380953,
28,50,2,0.1,0.9,0.8613636363636363,,0.6113636363636363,,0.8596428571428569,,0.8402380952380953,
27,50,2,0.1,0.2,0.8613636363636363,,0.8522727272727273,,0.8596428571428569,,0.8402380952380953,
32,50,2,0.4,0.99,0.884090909090909,,0.3181818181818182,,0.8616666666666666,,0.830238095238095,
31,50,2,0.4,0.9,0.884090909090909,,0.7340909090909091,,0.8616666666666666,,0.830238095238095,
30,50,2,0.4,0.2,0.884090909090909,,0.8954545454545455,,0.8616666666666666,,0.830238095238095,
35,50,2,1.0,0.99,0.8522727272727273,,0.3931818181818182,,0.8594047619047616,,0.8428571428571427,
34,50,2,1.0,0.9,0.8522727272727273,,0.8636363636363636,,0.8594047619047616,,0.8428571428571427,
33,50,2,1.0,0.2,0.8522727272727273,,0.9545454545454546,,0.8594047619047616,,0.8428571428571427,
38,50,5,0.1,0.99,0.875,,0.4613636363636363,,0.6377380952380952,,0.838095238095238,
37,50,5,0.1,0.9,0.875,,0.6545454545454545,,0.6377380952380952,,0.838095238095238,
36,50,5,0.1,0.5,0.875,,0.8068181818181818,,0.6377380952380952,,0.838095238095238,
41,50,5,0.4,0.99,0.8431818181818181,,0.5954545454545455,,0.8538095238095239,,0.8330952380952382,
40,50,5,0.4,0.9,0.8431818181818181,,0.7954545454545454,,0.8538095238095239,,0.8330952380952382,
39,50,5,0.4,0.5,0.8431818181818181,,0.9159090909090908,,0.8538095238095239,,0.8330952380952382,
44,50,5,1.0,0.99,0.8636363636363636,,0.0,,0.8565476190476189,,0.8404761904761905,
43,50,5,1.0,0.9,0.8636363636363636,,0.0,,0.8565476190476189,,0.8404761904761905,
42,50,5,1.0,0.5,0.8636363636363636,,0.0,,0.8565476190476189,,0.8404761904761905,
47,50,8,0.1,0.99,0.8681818181818182,,0.0,,0.8564285714285715,,0.8392857142857143,
46,50,8,0.1,0.9,0.8681818181818182,,0.0,,0.8564285714285715,,0.8392857142857143,
45,50,8,0.1,0.8,0.8681818181818182,,0.0,,0.8564285714285715,,0.8392857142857143,
50,50,8,0.4,0.99,0.8409090909090909,,0.8045454545454546,,0.8615476190476186,,0.8319047619047624,
49,50,8,0.4,0.9,0.8409090909090909,,0.9159090909090908,,0.8615476190476186,,0.8319047619047624,
48,50,8,0.4,0.8,0.8409090909090909,,0.9136363636363636,,0.8615476190476186,,0.8319047619047624,
53,50,8,1.0,0.99,0.8613636363636363,,0.0,,0.8527380952380952,,0.8402380952380949,
52,50,8,1.0,0.9,0.8613636363636363,,0.0,,0.8527380952380952,,0.8402380952380949,
51,50,8,1.0,0.8,0.8613636363636363,,0.0,,0.8527380952380952,,0.8402380952380949,
