,n_dev,n_class_eav,prop_data_eav,class_dist_eav,greedy_eav_acc,greedy_eav_acc_std,optimal_eav_acc,optimal_eav_acc_std,greedy_learner_acc_mean,greedy_learner_acc_std,optimal_learner_acc_mean,optimal_learner_acc_std
0,20,2,0.1,0.2,0.9352272727272727,0.008246795854953477,0.8279545454545454,0.29119314178368777,0.9224166666666667,0.0069592925165250785,0.9237738095238095,0.007128082161675908
3,20,2,0.4,0.99,0.9306818181818182,0.010178052153442722,0.4295454545454545,0.1788424415971698,0.9192380952380951,0.018571275945648696,0.9235357142857141,0.0066147472803019785
2,20,2,0.4,0.9,0.9306818181818182,0.010178052153442722,0.6838636363636363,0.34330212286931006,0.9192380952380951,0.018571275945648696,0.9235357142857141,0.0066147472803019785
1,20,2,0.4,0.2,0.9306818181818182,0.010178052153442722,0.823409090909091,0.2295043217472011,0.9192380952380951,0.018571275945648696,0.9235357142857141,0.0066147472803019785
6,20,2,1.0,0.99,0.9369318181818181,0.01568722850393251,0.6590909090909092,0.018583231196434007,0.9141071428571429,0.01753553936762449,0.9188095238095236,0.008458726180156358
5,20,2,1.0,0.9,0.9369318181818181,0.01568722850393251,0.9306818181818182,0.020723342074328466,0.9141071428571429,0.01753553936762449,0.9188095238095236,0.008458726180156358
4,20,2,1.0,0.2,0.9369318181818181,0.01568722850393251,0.9738636363636364,0.010091084589558512,0.9141071428571429,0.01753553936762449,0.9188095238095236,0.008458726180156358
9,20,5,0.1,0.99,0.9233471074380165,0.016328589650363115,0.5733471074380165,0.21070545348715147,0.9148593073593073,0.018599705135501472,0.9218722943722942,0.007653028928675071
8,20,5,0.1,0.9,0.9204545454545455,0.01704124527151813,0.7431818181818182,0.2701349864927836,0.9135714285714285,0.019860387615067015,0.9213214285714285,0.008209482147354997
7,20,5,0.1,0.5,0.9204545454545455,0.01704124527151813,0.8052272727272728,0.26980983763541405,0.9135714285714285,0.019860387615067015,0.9213214285714285,0.008209482147354997
12,20,5,0.4,0.99,0.9315909090909091,0.011758298165873135,0.7212809917355372,0.10046006117761762,0.906569264069264,0.03306888374203047,0.9202857142857143,0.005396883753185852
11,20,5,0.4,0.9,0.9308080808080808,0.012192027984417458,0.9136363636363637,0.036576083953252445,0.906569264069264,0.03306888374203047,0.920079365079365,0.005682263948706214
10,20,5,0.4,0.5,0.9315909090909091,0.01175829816587313,0.945,0.01444568052915517,0.9044166666666665,0.03403561273120272,0.9202857142857143,0.0053968837531858755
15,20,5,1.0,0.99,0.9231818181818182,0.014001836426845935,0.7911157024793389,0.034504379669524035,0.9178896103896104,0.013373779100515857,0.9252261904761905,0.004525358270116826
14,20,5,1.0,0.9,0.9231818181818182,0.014001836426845935,0.9524793388429752,0.01602085886767627,0.9178896103896104,0.013373779100515857,0.9252261904761905,0.004525358270116826
13,20,5,1.0,0.5,0.9231818181818182,0.014001836426845935,0.9739669421487602,0.006693066935550226,0.9178896103896104,0.013373779100515857,0.9252261904761905,0.004525358270116826
18,20,8,0.1,0.99,0.9243181818181819,0.008641014165217504,0.8231818181818182,0.16850501296382667,0.9236190476190476,0.007370533694639307,0.9233333333333332,0.00942742230184066
17,20,8,0.1,0.9,0.9243181818181819,0.008641014165217504,0.8595454545454546,0.17891880157600012,0.9236190476190476,0.007370533694639307,0.9233333333333332,0.00942742230184066
16,20,8,0.1,0.8,0.9243181818181819,0.008641014165217504,0.8645454545454546,0.18054541894269638,0.9236190476190476,0.007370533694639307,0.9233333333333332,0.00942742230184066
21,20,8,0.4,0.99,0.9259090909090908,0.012909944487358108,0.8277272727272728,0.1594757250714112,0.9113214285714285,0.0198600268482879,0.9225357142857142,0.005529715985593593
20,20,8,0.4,0.9,0.9259090909090908,0.012909944487358108,0.8704545454545454,0.19348016178087826,0.9113214285714285,0.0198600268482879,0.9225357142857142,0.005529715985593593
19,20,8,0.4,0.8,0.9259090909090908,0.012909944487358108,0.8736363636363637,0.20329923391984708,0.9113214285714285,0.0198600268482879,0.9225357142857142,0.005529715985593593
