,comment_text,target
0,imax sound system ,1
1,killed my father ,0
2,witless mess ,0
3,     s a tribute to the actress     and to her inventive director     that the journey is such a mesmerizing one ,1
4,than the first 30 or 40 minutes ,1
5,i could feel my eyelids           getting           very           heavy           ,0
6,into a gut     wrenching examination of the way cultural differences and emotional expectations collide ,1
7,there are great rewards here     ,1
8,offers a clear     eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film     ,1
9,hallmark film ,1
10,a clarity of purpose and even     handedness ,1
11,and in a sense     that      s a liability     ,0
12,action     packed an experience as a ringside seat ,1
13,is less successful on other levels ,0
14,we do get the distinct impression that this franchise is drawing to a close     ,0
15,most of the work ,1
16,own staggeringly unoriginal terms ,0
17,a purposefully reductive movie ,1
18,too many characters ,0
19,more ridiculous ,0
20,crammed with scenes and vistas and pretty moments ,1
21,harsh reality ,0
22,explosive physical energy and convincing intelligence ,1
23,hates its characters ,0
24,features a standout performance ,1
25,championship material ,1
26,not for their acting chops     but for their looks ,0
27,their own immaturity ,0
28,a distinctly minor effort ,0
29,    an archetypal desire to enjoy good trash every now and then     ,0
30,thought     provoking picture     ,1
31,undone by a sloppy script ,0
32,are both excellent ,1
33,cheap manipulation or corny conventions ,0
34,to see if stupid americans will get a kick out of goofy brits with cute accents performing ages     old slapstick and unfunny tricks ,0
35,that resonate with profundity ,1
36,summons more spirit and bite than your average formulaic romantic quadrangle ,1
37,has nothing ,0
38,oscar     caliber ,1
39,dripping with cliche and ,0
40,sensitive ensemble performances and ,1
41,obvious determination to shock at any cost ,0
42,is genuinely witty ,1
43,skimpy ,0
44,gone     replaced by the forced funniness found in the dullest kiddie flicks ,0
45,spent the duration of the film      s shooting schedule waiting to scream     ,0
46,ends with outtakes in which most of the characters forget their lines and just utter       uhhh           which is better than most of the writing in the movie ,0
47,    miller     kuras and the actresses make personal velocity into an intricate     intimate and intelligent journey     ,1
48,as well     written as sexy beast     not as gloriously flippant as lock     stock and two smoking barrels     ,1
49,trapped ,0
50,inescapable past and uncertain future ,0
51,sensitive     smart     savvy     compelling coming     of     age drama ,1
52,terrific     sweaty     palmed fun ,1
53,manages     with terrific flair     ,1
54,astonishingly skillful and moving           ,1
55,this movie plays like an extended dialogue exercise in retard 101     ,0
56,needless ,0
57,minac drains his movie of all individuality ,0
58,stealing harvard is a smorgasbord of soliloquies about nothing delivered by the former mr    drew barrymore     ,0
59,repellent ,0
60,is almost entirely witless and inane     carrying every gag two or three times beyond its limit to sustain a laugh     ,0
61,ghastly ,0
62,     ll be white     knuckled and unable to look away ,1
63,a director beginning to resemble someone      s crazy french grandfather ,0
64,over with ,0
65,is too pedestrian a filmmaker to bring any edge or personality to the rising place that would set it apart from other deep south stories ,0
66,lack depth or complexity     with the ironic exception of scooter     ,0
67,cold ,0
68,glued ,1
69,low     budget hybrid ,0
70,stone seems to have a knack for wrapping the theater in a cold blanket of urban desperation     ,0
71,in the pile of useless actioners from mtv schmucks who do n     t know how to tell a story for more than four minutes ,0
72,hold society in place ,1
73,able ,1
74,mysterious     sensual ,1
75,in your heart ,1
76,with a cause ,1
77,into the sort of heartache everyone ,0
78,acute expressiveness ,1
79,has a lot going for it     not least the brilliant performances by testud           and parmentier     ,1
80,     s about individual moments of mood     and an aimlessness that      s actually sort of amazing     ,1
81,    worse     ,0
82,about a couple of saps stuck in an inarticulate screenplay ,0
83,too many pointless situations ,0
84,are worse ,0
85,some cute moments     funny scenes     and hits the target audience     young bow wow fans           ,1
86,deep inside righteousness ,1
87,      epic ,1
88,benefits ,1
89,the performers are so spot on     it is hard to conceive anyone else in their roles     ,1
90,the fluid motion is astounding on any number of levels            including the physical demands made on büttner            and ,1
91,comes off as a kingdom more mild than wild     ,0
92,rarely seem sure of where it should go ,0
93,also looking cheap ,0
94,that feels dusty and leatherbound ,0
95,singer     composer bryan adams contributes a slew of songs            a few potential hits     a few more simply intrusive to the story            but the whole package certainly captures the intended     er     spirit of the piece ,1
96,makes the case for a strong education and good teachers being more valuable in the way they help increase an average student      s self     esteem     and not strictly in the knowledge imparted     ,1
97,rediscovers his passion in life ,1
98,a clumsily manufactured exploitation flick     a style     free exercise in manipulation and mayhem     ,0
99,our imagination ,1
100,there      s no real sense of suspense ,0
101,return to a sane regimen of eating     sleeping and stress     reducing contemplation ,1
102,    profound ethical and philosophical questions in the form of dazzling pop entertainment ,1
103,          the reason to go see            blue crush            is the phenomenal     water     born cinematography by david hennings     ,1
104,spain      s greatest star wattage ,1
105,particular     anciently demanding métier ,0
106,it has some cute moments     funny scenes     and hits the target audience     young bow wow fans           with nothing but net ,1
107,desolate ,0
108,    but director carl franklin adds enough flourishes and freak     outs to make it entertaining ,1
109,a strange film     one that was hard for me to warm up to ,0
110,is the most visually unappealing     ,0
111,veers into corny sentimentality     ,0
112,when all is said and done     she loves them to pieces            and so     i trust     will you     ,1
113,its true     to     life characters     its sensitive acting ,1
114,broad cross     section ,1
115,too stagey     talky ,0
116,suffered and bled ,0
117,slapdash disaster     ,0
118,simply stupid     irrelevant ,0
119,replaced by goth goofiness ,0
120,even the corniest and most hackneyed contrivances ,0
121,if the man from elysian fields is doomed by its smallness     it is also elevated by it            the kind of movie that you enjoy more because you      re one of the lucky few who sought it out     ,1
122,languorous charm ,1
123,adds enough flourishes and freak     outs to make it entertaining ,1
124,the source material movie ,1
125,witty and beneath ,1
126,to me     it sounds like a cruel deception carried out by men of marginal intelligence     with reactionary ideas about women and a total lack of empathy     ,0
127,          rogers      s mouth never stops shut about the war between the sexes and how to win the battle     ,1
128,seen 10   000 times ,1
129,beautifully acted and directed     it      s clear that washington most certainly has a new career ahead of him if he so chooses     ,1
130,see this terrific film with your kids            if you do n     t have kids borrow some ,1
131,there      s no real sense of suspense     and none of the plot       surprises       are really surprising ,0
132,alternating between facetious comic parody and pulp melodrama     this smart     aleck movie           tosses around some intriguing questions about the difference between human and android life ,1
133,if you enjoy being rewarded by a script that assumes you are n     t very bright ,0
134,is still fun and enjoyable and so aggressively silly that it      s more than a worthwhile effort ,1
135,flashy     overlong soap ,0
136,particularly well made ,1
137,a stirring tribute to the bravery and dedication of the world      s reporters who willingly walk into the nightmare of war not only to record the events for posterity     but to help us clearly see the world of our making     ,1
138,excited that it has n     t gone straight to video ,1
139,with some glimpses of nature and family warmth ,1
140,the only thing i laughed at ,0
141,    sweet home alabama is n     t as funny as you      d hoped     ,0
142,too overdone ,0
143,a cellophane     pop remake of the punk classic ladies and gentlemen     the fabulous stains           ,0
144,though a morbid one ,0
145,a lightweight story about matchmaking ,1
146,fails to keep it up and ,0
147,butterfingered ,0
148,style     structure and rhythms ,1
149,the frequent allusions to gurus and doshas will strike some westerners as verging on mumbo     jumbo ,0
150,may be surprised at the variety of tones in spielberg      s work ,1
151,if you only had a week to live ,0
152,holds you in rapt attention ,1
153,perfectly pitched between comedy and tragedy     hope and despair ,1
154,reggio and glass put on an intoxicating show     ,1
155,undoubtedly the scariest movie ever made about tattoos     ,1
156,it      s the worst movie i      ve seen this summer ,0
157,conceptually brilliant ,1
158,pitch     perfect forster ,1
159,crossing     over mumbo jumbo     manipulative sentimentality     and ,0
160,    tsai      s     masterpiece ,1
161,a couple of burnt     out cylinders ,0
162,it recycles every cliché about gays in what is essentially an extended soap opera     ,0
163,the resolutely downbeat smokers only with every indulgent     indie trick in the book ,0
164,jason x is this bad on purpose ,0
165,that it jams too many prefabricated story elements into the running time ,0
166,star performances ,1
167,promises offers an unexpected window into the complexities of the middle east struggle and into the humanity of its people     ,1
168,    orlando jones     ,0
169,fire ,0
170,he needs to pull his head out of his butt ,0
171,often inspiring ,1
172,director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon     but showtime      s uninspired send     up of tv cop show cliches mostly leaves him shooting blanks ,0
173,stress       dumb ,0
174,enamored ,1
175,seem sincere     and just ,1
176,washed away ,0
177,     s nowhere near as exciting as either ,0
178,this is a nicely handled affair     a film about human darkness but etched with a light     yet unsentimental     touch     ,1
179,like the work of an artist who is simply tired            of fighting the same fights     of putting the weight of the world on his shoulders     of playing with narrative form     ,0
180,     s a shame that the storyline and its underlying themes           finally seem so impersonal or even shallow     ,0
181,cinematography and exhilarating point     of     view shots ,1
182,is never clear     ,0
183,mindless     lifeless     meandering     loud     painful     obnoxious ,0
184,gangster no    1 is solid     satisfying fare for adults     ,1
185,sexy and romantic ,1
186,    i      m not exactly sure what            and has all the dramatic weight of a raindrop ,0
187,    sophisticated film ,1
188,moving in many directions as it searches     vainly     i think     for something fresh to say ,1
189,remind us of how very bad a motion picture can truly be ,0
190,a catalyst for the struggle of black manhood in restrictive and chaotic america ,1
191,own ambitious goals ,1
192,should be poignant ,0
193,thrown     together feel ,0
194,entertaining documentary ,1
195,it gets so preachy     keen and so tub     thumpingly loud it makes you feel like a chump ,0
196,emotionally complex     dramatically satisfying heroine ,1
197,that would have made vittorio de sica proud ,1
198,are too many bona fide groaners among too few laughs ,0
199,of adolescent violence ,0
200,will probably never achieve the popularity of my big fat greek wedding ,0
201,are so few films about the plight of american indians in modern america that skins comes as a welcome     if downbeat     missive from a forgotten front ,1
202,lazy     miserable and smug     ,0
203,muttering words like            horrible            and            terrible ,0
204,     s superficial and unrealized ,0
205,moving and weighty ,1
206,it      s not the least of afghan tragedies that this noble warlord would be consigned to the dustbin of history     ,0
207,makes a great impression as the writer     director of this little     1   8 million charmer     which may not be cutting     edge indie filmmaking but ,1
208,while the production details are lavish     film has little insight into the historical period and its artists     particularly in how sand developed a notorious reputation     ,0
209,a funny     sometimes hilarious     comedy with a deft sense of humor about itself     a playful spirit and a game cast ,1
210,has none of the crackle of            fatal attraction                           9 1     2 weeks                or even            indecent proposal                and feels more like lyne      s stolid remake of            lolita            ,0
211,the artistry of making a film ,1
212,however     having sucked dry the undead action flick formula     blade ii mutates into a gross     out monster movie with effects that are more silly than scary     ,0
213,millions of eager fans ,1
214,bad     movie ,0
215,marveling at these guys       superhuman capacity to withstand pain ,1
216,a fascinating examination ,1
217,get on television ,1
218,ugly     mean     spirited lashing ,0
219,is so clumsily sentimental and ineptly directed it may leave you speaking in tongues     ,0
220,of love     longing     and voting ,1
221,the chatter ,1
222,the picture begins to resemble the shapeless     grasping actors       workshop that it is     ,0
223,fascinating and playful ,1
224,of the charm and little ,1
225,elegant     mannered and teasing ,1
226,is how so many talented people were convinced to waste their time ,0
227,scotland     pa is entirely too straight     faced to transcend its clever concept     ,0
228,enjoy its own transparency ,1
229,professional film ,1
230,a fascinating character      s ,1
231,a hard time sitting through this one ,0
232,of paint     by     number american blockbusters like pearl harbor     at least ,0
233,a gangster movie with the capacity to surprise     ,1
234,must see for all sides of the political spectrum ,1
235,time frame right ,1
236,vaguely interesting     but it      s just too too much ,0
237,it      s worth seeing ,1
238,through this mess ,0
239,skillfully assembled     ,1
240,virtuoso ,1
241,its mean     spirited second half ,0
242,          wallace is smart to vary the pitch of his movie     balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams     ,1
243,    especially the frank sex scenes     ensure that the film is never dull ,1
244,refreshing visit ,1
245,slapping its target audience in the face by shooting itself in the foot ,0
246,your interest until the end and even leaves you with a few lingering animated thoughts     ,1
247,from the dull     surreal ache of mortal awareness emerges a radiant character portrait     ,1
248,comic gem ,1
249,murphy do the genial     rogue shtick to death ,0
250,exhaustion     from watching a movie that is dark     dark green     to be exact     ,0
251,delusional ,0
252,it      s a lovely     eerie film that casts an odd     rapt spell     ,1
253,delivers a powerful commentary on how governments lie ,1
254,one of the year      s best films ,1
255,a different and emotionally reserved type of survival story ,1
256,it      s hard to imagine any recent film     independent or otherwise     that makes as much of a mess as this one     ,0
257,good job ,1
258,has n     t progressed as nicely as       wayne ,0
259,is that those responsible did n     t cut their losses            and ours            and retitle it the adventures of direct     to     video nash     and send it to its proper home ,0
260,is a tired one     ,0
261,no way original ,0
262,wears out its limited welcome ,0
263,most ordinary and obvious ,0
264,perceptive     taut     piercing and feisty ,1
265,awfully good     achingly human picture ,1
266,optimism ,1
267,with the cliché     laden screenplay ,0
268,a sly female empowerment movie ,1
269,layer of action man cliché atop wooden dialogue ,0
270,an epic of astonishing grandeur ,1
271,can only provide it with so much leniency     ,0
272,plays like the old disease     of     the     week small     screen melodramas     ,0
273,deserve but rarely receive it ,0
274,it      s a frankenstein     monster of a film that does n     t know what it wants to be     ,0
275,overly     familiar and poorly     constructed comedy ,0
276,a kids     and     family     oriented cable channel ,1
277,impressively ,1
278,designed to fill time ,0
279,kirkegaard ,1
280,the picture realizes a fullness that does not negate the subject     ,1
281,     s one of the most beautiful     evocative works i      ve seen ,1
282,    flat drama ,0
283,it     offering fine acting moments and pungent insights ,1
284,too clichéd and too often strains credulity ,0
285,is a tribute not only to his craft     but to his legend ,1
286,reign of fire never comes close to recovering from its demented premise     ,0
287,this argentinean       dramedy       succeeds mainly on the shoulders of its actors     ,1
288,with no reason for being ,0
289,unlaughable ,0
290,a markedly inactive film     ,0
291,under     inspired ,0
292,real women may have many agendas     but it also will win you over     in a big way ,1
293,    this halloween is a gory slash     fest     ,1
294,and unabashed sweetness ,1
295,excels ,1
296,to appreciate the wonderful cinematography and naturalistic acting ,1
297,the children of varying ages in my audience never coughed     fidgeted or romped up and down the aisles for bathroom breaks ,1
298,writer     director walter hill and co     writer david giler try to create characters out of the obvious cliches     but wind up using them as punching bags     ,0
299,of promise ,1
300,opposed to the manifesto ,1
301,imagine a scenario where bergman approaches swedish fatalism using gary larson      s far side humor ,1
302,the percussion rhythm     the brass soul and the sense of fierce competition that helps make great marching bands half the fun of college football games ,1
303,kiddie     oriented stinker ,0
304,the messiness ,0
305,is n     t in this film     which may be why it works as well as it does     ,1
306,pulling on heartstrings ,1
307,not engaging ,0
308,it falls far short of poetry     but it      s not bad prose ,1
309,maintains a cool distance ,1
310,lusty     boisterous and utterly charming ,1
311,a supernatural mystery that does n     t know whether it wants to be a suspenseful horror movie or a weepy melodrama     ,0
312,ashamed in admitting that my enjoyment came at the expense of seeing justice served     even if it      s a dish that      s best served cold ,1
313,something of a public service ,1
314,then triple x marks the spot     ,1
315,that      s the mark of a documentary that works ,1
316,    the movie winds up feeling like a great missed opportunity     ,0
317,draws you ,1
318,without lectures or confrontations ,1
319,a very charming and funny movie ,1
320,from            promising ,1
321,own style ,1
322,irritating     at least to this western ear     ,0
323,going to take you ,1
324,fast     paced and wonderfully edited     the film is extremely thorough     ,1
325,the hours represents two of those well spent ,1
326,manages to sustain a good simmer for most of its running time ,1
327,excuse to eat popcorn ,0
328,your face for two hours ,0
329,right inside the massive waves that lifts blue crush into one of the summer      s most pleasurable movies ,1
330,accomplishment ,1
331,without placing their parents in a coma     like state ,1
332,world traveler might not go anywhere new     or arrive anyplace special     but it      s certainly an honest attempt to get at something ,1
333,would not likely be so stupid as to get ,0
334,hollywood ending is a depressing experience ,0
335,shaking your head all the way to the credits ,0
336,symbolically     warm water under a red bridge is a celebration of feminine energy     a tribute to the power of women to heal     ,1
337,might actually want to watch ,1
338,of any opportunity for finding meaning in relationships or work ,1
339,there are some laughs in this movie     but williams       anarchy gets tiresome     the satire is weak     ,0
340,the rare movie that      s as crisp and to the point as the novel on which it      s based ,1
341,thriller with enough unexpected twists to keep our interest ,1
342,hampered            no     paralyzed            by a self     indulgent script           that aims for poetry and ends up sounding like satire ,0
343,more irresistibly than in       baran ,1
344,god is great addresses interesting matters of identity and heritage ,1
345,just does n     t cut it ,0
346,sensitive ensemble performances and good period reconstruction add up to a moving tragedy with some buoyant human moments     ,1
347,is dark     brooding and slow ,0
348,punch     drunk love is so convinced of its own brilliance that     if it were a person     you      d want to smash its face in           ,0
349,the top japanese animations ,1
350,the greatest films ,1
351,absolutely not     ,0
352,thumbs friggin       down ,0
353,it is n     t scary     ,0
354,guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood     nothing good can happen     ,0
355,is it a charming     funny and beautifully crafted import     it uses very little dialogue     making it relatively effortless to read and follow the action at the same time     ,1
356,a simple premise ,0
357,awed by the power and grace of one of the greatest natural sportsmen of modern times ,1
358,no wit     only labored gags ,0
359,is so deadly dull that watching the proverbial paint dry would be a welcome improvement ,0
360,to give the audience a reason to want to put for that effort ,1
361,all things insipid ,0
362,there      s no disguising this as one of the worst films of the summer     ,0
363,imaginative and successful ,1
364,     s stuffy and pretentious ,0
365,evolved from star to superstar ,1
366,becomes a bit of a mishmash ,0
367,heartwarming here relies less on forced air than on petter næss       delicate     clever direction           and a wonderful     imaginative script by axel hellstenius     ,1
368,detailed personal portrait ,1
369,fun cheese puff ,1
370,the first one charming ,1
371,lusty     ,1
372,    are crisp and purposeful without overdoing it ,1
373,is really     really stupid     ,0
374,cast the magnificent jackie chan in a movie full of stunt doubles and special effects ,1
375,it might as well have been titled generic jennifer lopez romantic comedy ,0
376,is a disaster     ,0
377,is like scorsese      s mean streets redone by someone who ignored it in favor of old       juvenile delinquent       paperbacks with titles like leather warriors and switchblade sexpot     ,0
378,the under     7 crowd ,1
379,a middle     aged romance pairing clayburgh and tambor sounds promising ,1
380,visualize schizophrenia ,0
381,entirely witless and ,0
382,too sappy for its own good     ,0
383,simple     minded and stereotypical ,0
384,of education ,1
385,boasting some of the most poorly staged and lit action in memory     impostor is as close as you can get to an imitation movie     ,0
386,walk out of the good girl with mixed emotions            ,0
387,it      s a scorcher     ,1
388,broomfield is energized by volletta wallace      s maternal fury     her fearlessness     ,1
389,main asset ,1
390,loosely     connected string ,0
391,with more character development this might have been an eerie thriller     with better payoffs     it could have been a thinking man      s monster movie     ,0
392,i like all four of the lead actors a lot and they manage to squeeze a few laughs out of the material     but ,1
393,a lot like a well     made pb     j sandwich ,1
394,    often incisive satire and unabashed sweetness ,1
395,makes you realize that deep inside righteousness can be found a tough beauty ,1
396,of this reactionary thriller ,1
397,pokémon 4ever ,1
398,a fascinating little thriller that would have been perfect for an old            twilight zone            episode ,1
399,seems like some futile concoction that was developed hastily after oedekerk ,0
400,radical action ,1
401,which become strangely impersonal and abstract ,0
402,what a stiflingly unfunny and unoriginal mess this ,0
403,a sharp and quick documentary ,1
404,with a moral ,1
405,trying figure out whether or not some cocky pseudo     intellectual kid has intentionally left college or was killed ,0
406,the filmmakers keep pushing the jokes at the expense of character until things fall apart     ,0
407,the story of trouble every day           is so sketchy it amounts to little more than preliminary notes for a science     fiction horror film ,0
408,be in video stores by christmas ,0
409,feel fully ,1
410,a directorial tour de force ,1
411,should have stayed there     ,0
412,sad     sick sight ,0
413,even when there are lulls     the emotions seem authentic     and the picture is so lovely toward the end           you almost do n     t notice the 129     minute running time     ,1
414,be pleased ,1
415,you      ll enjoy the hot chick     ,1
416,although sensitive to a fault     it      s often overwritten     with a surfeit of weighty revelations     flowery dialogue     and nostalgia for the past and roads not taken     ,0
417,you      ll forget about it by monday     though     and ,0
418,ignore the reputation     and ignore the film     ,0
419,a dazzling dream of a documentary     ,1
420,implodes ,0
421,fluffy and disposible     ,0
422,change the fact that what we have here is a load of clams left in the broiling sun for a good three days ,0
423,of the best short story writing ,1
424,bad rock concert ,0
425,michel piccoli      s moving performance ,1
426,a joint promotion for the national basketball association and ,1
427,so many merchandised     to     the     max movies ,0
428,done that           a thousand times ,0
429,than indecent proposal ,1
430,where their heads were ,0
431,road to perdition does display greatness ,1
432,mind     bending ,1
433,pleasant enough ,1
434,those 24     and     unders looking for their own caddyshack to adopt as a generational signpost may have to keep on looking     ,0
435,interesting both as a historical study and as a tragic love story ,1
436,this film      s impressive performances and ,1
437,the most surprising thing ,1
438,recommend secretary     ,1
439,the qualities that made the first film so special ,1
440,of good acting ,1
441,one strike ,0
442,notable for its stylistic austerity and forcefulness ,1
443,an extended dialogue exercise in retard 101 ,0
444,silly but strangely believable ,1
445,a few are sexy ,1
446,     s been done before ,0
447,a more measured or polished production ,1
448,drown a viewer in boredom ,0
449,baked ,1
450,easy to watch ,1
451,one      s appetite for the bollywood films ,1
452,frequently pandering to fans of the gross     out comedy ,0
453,wastes its time ,0
454,loves the members of the upper class almost as much as they love themselves ,0
455,her fearlessness ,1
456,ke ,1
457,tries its best ,1
458,if it      s unnerving suspense you      re after            you      ll find it with ring     an indisputably spooky film     with a screenplay to die for     ,1
459,be viewed and treasured for its extraordinary intelligence and originality ,1
460,an acting bond ,1
461,it tends to remind one of a really solid woody allen film     with its excellent use of new york locales and sharp writing ,1
462,tolerable     to     adults ,0
463,a more mythic level ,1
464,equlibrium could pass for a thirteen     year     old      s book report on the totalitarian themes of 1984 and farenheit 451     ,0
465,a fascinating     unnerving examination of the delusions of one unstable man ,1
466,the delicious trimmings           arrive early and stay late     filling nearly every minute           with a lighthearted glow     some impudent snickers     and a glorious dose of humankind      s liberating ability to triumph over a scrooge or two     ,1
467,caricature ,0
468,dry wit and compassion ,1
469,assumes that not only would subtlety be lost on the target audience     but that it      s also too stupid to realize that they      ve already seen this exact same movie a hundred times ,0
470,a music scene that transcends culture and race ,1
471,has n     t progressed as nicely as       wayne           ,0
472,if you      re a comic fan     you ca n     t miss it     ,1
473,lost ideal ,0
474,    when the now computerized yoda finally reveals his martial artistry     the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside     ,1
475,reading an oversized picture book before bedtime ,1
476,is a mess from start to finish ,0
477,definitely ,1
478,it forces you to watch people doing unpleasant things to each other and themselves     and it maintains a cool distance from its material that is deliberately unsettling ,0
479,you      ve wasted nearly two hours of your own precious life with this silly little puddle of a movie ,0
480,how this gets us in trouble ,0
481,about movie love ,1
482,sinks into by     the     numbers territory     ,0
483,becomes long and tedious like a classroom play in a college history course     ,0
484,demonstrates that werner herzog can still leave us with a sense of wonder at the diverse     marvelously twisted shapes history has taken     ,1
485,the road warrior ,1
486,may rethink their attitudes when they see the joy the characters take in this creed ,1
487,weaving a theme ,1
488,though harris is affecting at times     he can not overcome the sense that pumpkin is a mere plot pawn for two directors with far less endearing disabilities     ,0
489,appalling     shamelessly manipulative and contrived     ,0
490,slurs ,0
491,unique directing style ,1
492,an impressive hybrid     ,1
493,bravado ,1
494,a good film ,1
495,    stuart little 2 is a light     fun cheese puff of a movie     ,1
496,thought through than in most       right     thinking       films ,1
497,compelled to watch the film twice or pick up a book on the subject ,1
498,a majestic achievement     an epic of astonishing grandeur and ,1
499,down the reality drain ,0
500,amid the deliberate     tiresome ugliness ,0
501,where      s the movie here     ,0
502,lags badly in the middle and lurches between not     very     funny comedy     unconvincing dramatics and some last     minute action strongly reminiscent of run lola run ,0
503,this toothless dog     already on cable     loses all bite on the big screen     ,0
504,it will certainly succeed in alienating most viewers ,0
505,straining to get by on humor that is not even as daring as john ritter      s glory days on three      s company     ,0
506,lost in the translation           another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise ,0
507,blood work is laughable in the solemnity with which it tries to pump life into overworked elements from eastwood      s dirty harry period     ,0
508,the director mostly plays it straight     turning leys       fable into a listless climb down the social ladder     ,0
509,acted meditation on both the profoundly devastating events of one year ago and the slow     painful healing process that has followed in their wake ,1
510,has all the hallmarks of a movie designed strictly for children      s home video     a market so insatiable it absorbs all manner of lame entertainment     as long as 3     year     olds find it diverting     ,0
511,beginning to resemble someone      s crazy french grandfather ,0
512,like the old disease     of     the     week small     screen melodramas     ,0
513,shows crushingly little curiosity about     or is ill     equipped to examine     the interior lives of the characters in his film     much less incorporate them into his narrative     ,0
514,    denis           bare     bones narrative more closely resembles an outline for a      70s exploitation picture than the finished product     ,0
515,to whether you      ve seen pornography or documentary ,0
516,whimsicality ,1
517,uneven action comedy ,0
518,a delightful entree in the tradition of food movies     ,1
519,the buoyant energy level ,1
520,an impressive style ,1
521,vivid ,1
522,for a quick     buck sequel ,0
523,a testament to the divine calling of education and a demonstration of the painstaking ,1
524,i did n     t smile     ,0
525,hard to be mythic ,0
526,with a tighter editorial process and firmer direction this material could work     especially since the actresses in the lead roles are all more than competent     but as is     personal velocity seems to be idling in neutral ,0
527,nationwide blight ,0
528,dragged on ,0
529,in terms of the low     grade cheese standards on which it operates ,0
530,the new insomnia is a surprisingly faithful remake of its chilly predecessor     and when it does elect to head off in its own direction     it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities ,1
